id,lesson_id,question,options,correct_answer,order
1d37034f-9d51-4930-a175-a6550d872572,f9fe4f04-6ef2-43eb-b8fe-47ad2a30d6e0,What are the three parts of the habit loop?,"[""Start, Middle, End"",""Cue, Routine, Reward"",""Think, Feel, Act"",""Before, During, After""]",1,1
1da95219-5be1-47ff-9c9d-f3a3b0d56379,f9fe4f04-6ef2-43eb-b8fe-47ad2a30d6e0,What happens to anxiety when you use alcohol to manage it?,"[""It goes away permanently"",""It gets better over time"",""It gets worse over time due to rebound effects"",""It stays the same""]",2,1
2681b2e0-fdf9-4b8a-b110-4372772b7a27,eec60d5b-2119-47d0-a8ea-3a32bfa49fe8,Does self-compassion decrease motivation?,"[""Yes, it makes you lazy"",""No, research shows it increases motivation"",""Sometimes"",""Only if overdone""]",1,2
2dc6da66-330a-471f-b0f2-2c2492941cee,d304d017-1087-42a7-bed9-7e32080234e7,What types of triggers exist?,"[""Only emotional"",""Only environmental"",""Environmental, Social, Emotional, and Physical"",""Only social""]",2,1
3310062e-5bd0-42b1-85eb-712508ba331b,eec60d5b-2119-47d0-a8ea-3a32bfa49fe8,What happens when you numb painful emotions with alcohol?,"[""Only pain is numbed"",""You feel better long-term"",""You also numb joy and connection"",""Nothing happens""]",2,1
4246a4ce-f0a6-40d3-a376-d8d7bbceae39,f9fe4f04-6ef2-43eb-b8fe-47ad2a30d6e0,What happens to your brain chemistry after alcohol wears off?,"[""Nothing changes"",""GABA increases"",""GABA decreases below baseline causing anxiety"",""Dopamine permanently increases""]",2,2
44df9c05-1732-477e-8637-76d0762d0660,d304d017-1087-42a7-bed9-7e32080234e7,Why is identifying triggers important?,"[""To avoid all situations"",""To blame others"",""To prepare and manage high-risk situations"",""To feel guilty""]",2,2
51599242-b2d8-45ed-b554-95c4fbdc3ec5,f9fe4f04-6ef2-43eb-b8fe-47ad2a30d6e0,When do natural pleasures start feeling good again after quitting?,"[""Immediately"",""1 week"",""2-3 months"",""Never""]",2,2
5c59fa02-1ffc-436e-94d4-ffde2878b3ed,f9fe4f04-6ef2-43eb-b8fe-47ad2a30d6e0,Why does tolerance develop over time?,"[""Your liver gets stronger"",""Your brain adjusts its baseline chemistry"",""Alcohol becomes less potent"",""You drink too fast""]",1,3
5dc2686c-eeda-4bc4-8935-1e6e7219c6be,eec60d5b-2119-47d0-a8ea-3a32bfa49fe8,What does the RAIN technique stand for?,"[""Rest, Accept, Identify, Nurture"",""Recognize, Allow, Investigate, Nurture"",""Relax, Ask, Integrate, Notice"",""Repeat, Adapt, Improve, Navigate""]",1,2
81354326-12fd-4cc2-a851-f27db1fae0e5,f9fe4f04-6ef2-43eb-b8fe-47ad2a30d6e0,How much does alcohol increase dopamine compared to natural rewards?,"[""Same amount"",""50% more"",""200-400% more"",""10% more""]",2,1
894d49e3-a44c-4bba-bd70-472f8b7ff90f,f9fe4f04-6ef2-43eb-b8fe-47ad2a30d6e0,"What neurotransmitter does alcohol enhance, creating a relaxed feeling?","[""Dopamine"",""GABA"",""Serotonin"",""Cortisol""]",1,1
9aac2b1e-ea23-4b44-83d3-85fee03d90ca,f9ac93ce-059f-4292-9238-add53d28f7da,What is mindfulness?,"[""Stopping all thoughts"",""Always feeling calm"",""Paying attention to the present moment without judgment"",""Deep meditation""]",2,1
a729801e-5816-436c-8788-7ef6dfeb6dfe,f9fe4f04-6ef2-43eb-b8fe-47ad2a30d6e0,When does baseline anxiety typically start decreasing after stopping alcohol?,"[""Day 1"",""Week 3-4"",""6 months"",""1 year""]",1,2
aa8f99d0-0a06-4967-8d23-9141e280b78e,4f71cbb7-f096-4b5e-af50-771ae1d9a8e9,How long does a typical craving peak last?,"[""30 seconds"",""3-5 minutes"",""1 hour"",""All day""]",1,1
bad87017-4ae3-43b4-9eaa-d9c310c694e2,f9fe4f04-6ef2-43eb-b8fe-47ad2a30d6e0,What is the best way to change a habit?,"[""Eliminate it completely"",""Use willpower"",""Keep the cue and reward, change the routine"",""Avoid all triggers""]",2,2
d3cbfa49-202d-4ff0-93e7-47a71cc6cad3,eec60d5b-2119-47d0-a8ea-3a32bfa49fe8,What are the three components of self-compassion?,"[""Love, Hope, Faith"",""Self-kindness, Common humanity, Mindfulness"",""Patience, Acceptance, Gratitude"",""Strength, Courage, Wisdom""]",1,1
d9a4c039-a39a-41ae-82aa-a589f26b8f7e,4f71cbb7-f096-4b5e-af50-771ae1d9a8e9,How does mindfulness help with cravings?,"[""It eliminates cravings"",""It creates space between trigger and response"",""It makes you forget about alcohol"",""It distracts you""]",1,2
dcc12396-5fe0-4756-a3c3-b483fb8c85da,4f71cbb7-f096-4b5e-af50-771ae1d9a8e9,What is the urge surfing technique?,"[""Ignoring the craving"",""Observing the craving like a wave without acting"",""Drinking water instead"",""Keeping busy""]",1,2
